Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-255 b,0,0,0.002,0.14,0.00951,1228,1033,3.093,5.7146,2.336,13.7,1052.53,5573,4.52,TRUE,nexsci
Kepler-255 c,0,0.001,0.006,0.27,0.029,1016,854,3.004,9.946,3.3862,13.7,1052.53,5573,4.52,TRUE,nexsci
Kepler-255 d,0.001,0.001,0.004,0.12,0.00724,2084,1753,3.11,1.0456,1.8269,13.7,1052.53,5431,4.53,TRUE,nexsci
Kepler-256 b,0.001,0,0.003,0.14,0.00993,2209,1857,3.087,1.6205,2.2166,13.4,1026.43,5551,4.22,TRUE,nexsci
Kepler-256 c,0.001,0.001,0.003,0.19,0.0166,1711,1439,3.048,3.388,2.6784,13.4,1026.43,5551,4.22,TRUE,nexsci
Kepler-256 d,0,0.001,0.004,0.22,0.0211,1435,1206,3.03,5.8392,3.142,13.4,1026.43,5551,4.22,TRUE,nexsci
Kepler-256 e,0,0,0.003,0.21,0.0193,1171,985,3.035,10.6816,3.5715,13.4,1026.43,5551,4.22,TRUE,nexsci
Kepler-257 b,0.001,0.001,0.005,0.23,0.023,1643,1381,3.021,2.3827,1.812,13.4,780.26,5180,4.36,TRUE,nexsci
Kepler-257 c,0.001,0.003,0.013,0.48,0.0794,1179,992,2.926,6.5815,3.0896,13.4,780.26,5180,4.36,TRUE,nexsci
Kepler-257 d,0,0.001,0.007,0.44,0.0683,757,637,2.938,24.6646,2.8579,13.4,780.26,5180,4.36,TRUE,nexsci
Kepler-258 b,0,0.001,0.01,0.36,0.0488,847,712,2.965,13.1972,3.418,13,575.99,4942,4.44,TRUE,nexsci
Kepler-258 c,0,0,0.007,0.32,0.0399,619,520,2.979,33.6531,3.9616,13,575.99,4942,4.44,TRUE,nexsci
Kepler-259 b,0,0.001,0.006,0.25,0.0259,1149,966,3.012,8.1153,2.8929,13.6,1002.14,5938,4.53,TRUE,nexsci
Kepler-259 c,0,0,0.005,0.24,0.0244,693,583,3.018,36.9249,4.9381,13.6,1002.14,5938,4.53,TRUE,nexsci
Kepler-25 b,0.003,0.005,0.025,0.24,0.0275,1536,1292,3.055,6.2383,3.5439,9.5,243.25,6103,4.28,TRUE,nexsci
Kepler-25 c,0.002,0.009,0.072,0.47,0.0479,1262,1061,2.74,12.7207,2.862,9.5,243.25,6354,4.29,TRUE,nexsci
Kepler-260 b,0,0.001,0.007,0.18,0.0148,1019,857,3.059,8.1874,3.027,12.5,627.37,5250,4.49,TRUE,nexsci
Kepler-260 c,0,0,0.004,0.15,0.0116,485,407,3.078,76.0502,6.826,12.5,627.37,5250,4.49,TRUE,nexsci
Kepler-261 b,0,0.001,0.011,0.19,0.017,876,737,3.049,10.3812,2.759,11.6,317.5,5098,4.56,TRUE,nexsci
Kepler-261 c,0,0,0.007,0.18,0.0147,658,553,3.061,24.5709,2.7576,11.6,317.5,5098,4.56,TRUE,nexsci
Kepler-262 b,0,0,0.003,0.12,0.00761,956,804,3.11,13.0609,3.214,12.7,613.13,5841,4.54,TRUE,nexsci
Kepler-262 c,0,0,0.004,0.15,0.0105,806,678,3.087,21.8537,3.439,12.7,613.13,5841,4.54,TRUE,nexsci
Kepler-263 b,0,0,0.006,0.24,0.0239,775,651,3.019,16.5681,4.143,13.5,754.75,5265,4.58,TRUE,nexsci
Kepler-263 c,0,0,0.003,0.22,0.021,546,459,3.032,47.3328,2.819,13.5,754.75,5265,4.58,TRUE,nexsci
Kepler-264 b,0,0.001,0.011,0.3,0.0348,881,741,2.99,40.8062,13.135,11.6,942.17,6158,4.15,TRUE,nexsci
Kepler-264 c,0,0,0.007,0.25,0.0264,584,491,3.013,140.1013,17.933,11.6,942.17,6158,4.15,TRUE,nexsci
Kepler-265 b,0,0,0.003,0.17,0.013,1336,1123,3.068,6.8463,3.614,13.9,1280.25,5835,4.33,TRUE,nexsci
Kepler-265 c,0,0,0.004,0.23,0.0233,985,828,3.019,17.0289,4.686,13.9,1280.25,5835,4.33,TRUE,nexsci
Kepler-265 d,0,0,0.002,0.22,0.0213,722,607,3.03,43.1306,3.198,13.9,1280.25,5835,4.33,TRUE,nexsci
Kepler-265 e,0,0,0.003,0.23,0.0227,621,522,3.023,67.831,7.206,13.9,1280.25,5835,4.33,TRUE,nexsci
Kepler-266 b,0,0.001,0.005,0.22,0.0211,1285,1081,3.03,6.6183,3.7047,13.8,1370.79,5885,4.45,TRUE,nexsci
Kepler-266 c,0,0,0.005,0.35,0.0453,507,426,2.97,107.7236,8.042,13.8,1370.79,5885,4.45,TRUE,nexsci
Kepler-267 b,0,0.001,0.001,0.18,0.119,950,799,3.974,3.3537,1.4598,12.5,264.99,4258,4.73,TRUE,nexsci
Kepler-267 c,0,0,0.008,0.19,0.0163,746,627,3.049,6.8774,1.35,12.5,264.99,4258,4.73,TRUE,nexsci
Kepler-267 d,0,0,0.008,0.2,0.0182,466,392,3.039,28.4645,2.6657,12.5,264.99,4258,4.73,TRUE,nexsci
Kepler-268 b,0,0,0.005,0.23,0.0221,926,779,3.027,25.9341,4.6142,12.4,851.87,6081,4.29,TRUE,nexsci
Kepler-268 c,0,0,0.006,0.3,0.0357,628,528,2.987,83.4464,7.219,12.4,851.87,6081,4.29,TRUE,nexsci
Kepler-269 b,0,0.001,0.005,0.22,0.021,1330,1119,3.032,5.3267,3.4045,14,2257.32,5847,4.5,TRUE,nexsci
Kepler-269 c,0,0,0.003,0.15,0.011,1154,971,3.078,8.1279,3.91,14,2257.32,5847,4.5,TRUE,nexsci
Kepler-26 b,0,0,0.022,0.25,0.01611,548,461,2.812,12.28,2.7096,12.6,335.31,3914,4.68,TRUE,nexsci
Kepler-26 c,0,0,0.013,0.24,0.01951,489,412,2.913,17.2559,2.0371,12.6,335.31,3914,4.68,TRUE,nexsci
Kepler-26 d,0,0,0.006,0.1,0.0039,983,827,3.03,3.5439,1.8717,12.6,335.31,4486,4.73,TRUE,nexsci
Kepler-26 e,0,0,0.006,0.21,0.0201,414,348,3.033,46.8279,1.9033,12.6,335.31,4486,4.73,TRUE,nexsci
Kepler-270 b,0,0,0.003,0.18,0.0148,1285,1081,3.059,11.4761,5.046,12.6,948.78,6067,4.2,TRUE,nexsci
Kepler-270 c,0,0,0.003,0.16,0.0119,991,833,3.072,25.2629,6.22,12.6,948.78,6067,4.2,TRUE,nexsci
Kepler-271 b,0,0,0.005,0.11,0.00642,1001,842,3.119,10.4355,3.4167,11.7,404.54,5555,4.52,TRUE,nexsci
Kepler-271 c,0,0,0.006,0.09,0.00254,1121,943,2.94,7.4109,3.245,11.7,404.54,5555,4.52,TRUE,nexsci
Kepler-271 d,0,0,0.008,0.06,0.00069,1258,1058,2.691,5.2497,2.746,11.7,404.54,5555,4.52,TRUE,nexsci
Kepler-272 b,0,0.001,0,0.13,0.245,1503,1264,4.569,2.9714,2.7157,12.7,889.61,5297,4.43,TRUE,nexsci
Kepler-272 c,0,0.001,0,0.16,0.308,1186,997,4.475,6.0573,3.7419,12.7,889.61,5297,4.43,TRUE,nexsci
Kepler-272 d,0,0,0.006,0.2,0.0179,971,817,3.041,10.9373,3.084,12.7,889.61,5297,4.43,TRUE,nexsci
Kepler-273 b,0,0.001,0.004,0.13,0.00899,1510,1269,3.094,2.9365,1.771,13.2,713.96,5626,4.51,TRUE,nexsci
Kepler-273 c,0,0.001,0.006,0.18,0.0144,1075,904,3.057,8.0149,3.379,13.2,713.96,5626,4.51,TRUE,nexsci
Kepler-274 b,0,0,0.003,0.14,0.0094,1092,918,3.094,11.6348,5.382,13.5,1333.62,6023,4.44,TRUE,nexsci
Kepler-274 c,0,0,0.003,0.16,0.0127,769,646,3.068,33.1979,4.514,13.5,1333.62,6023,4.44,TRUE,nexsci
Kepler-275 b,0,0,0.003,0.21,0.0191,1327,1116,3.035,10.3007,4.943,14,2034.25,6165,4.23,TRUE,nexsci
Kepler-275 c,0,0.001,0.004,0.3,0.0357,1143,961,2.987,16.0881,5.664,14,2034.25,6165,4.23,TRUE,nexsci
Kepler-275 d,0,0,0.003,0.3,0.0348,877,738,2.99,35.6761,7.381,14,2034.25,6165,4.23,TRUE,nexsci
Kepler-276 b,0,0,0.004,0.26,0.0271,1040,874,3.011,14.1284,3.685,13.8,1144.86,6105,4.45,TRUE,nexsci
Kepler-276 c,0,0,0.002,0.26,0.052,753,633,3.284,31.884,5.099,13.8,1144.86,5779,4.46,TRUE,nexsci
Kepler-276 d,0,0,0.002,0.25,0.051,654,550,3.306,48.648,4.563,13.8,1144.86,5779,4.46,TRUE,nexsci
Kepler-277 b,0,0.001,0.001,0.26,0.275,1191,1002,4,17.324,8.169,12,976.64,5946,4.03,TRUE,nexsci
Kepler-277 c,0,0.001,0.001,0.3,0.202,961,808,3.745,33.006,7.201,12,976.64,5946,4.03,TRUE,nexsci
Kepler-278 b,0,0.002,0.01,0.36,0.049,1079,907,2.965,30.1605,7.874,9.5,443.03,4991,3.62,TRUE,nexsci
Kepler-278 c,0,0.001,0.008,0.32,0.0396,905,761,2.982,51.0788,11.233,9.5,443.03,4991,3.62,TRUE,nexsci
Kepler-279 b,0.001,0.001,0.007,0.32,0.0401,1442,1213,2.979,12.3097,5.868,12.5,1037.4,6363,4.05,TRUE,nexsci
Kepler-279 c,0,0.001,0.006,0.38,0.155,839,706,3.416,35.736,8.995,12.5,1037.4,6689,4.42,TRUE,nexsci
Kepler-279 d,0,0,0.002,0.28,0.118,737,620,3.581,54.414,8.559,12.5,1037.4,6689,4.42,TRUE,nexsci
Kepler-27 b,0,0.001,0,0.36,9.11,692,582,5.248,15.3348,3.5748,14.1,1044.36,5400,5.4,TRUE,nexsci
Kepler-27 c,0,0,0,0.44,13.8,544,458,5.253,31.3309,5.2279,14.1,1044.36,5400,5.4,TRUE,nexsci
Kepler-280 b,0.001,0.001,0.005,0.13,0.00849,1737,1461,3.102,2.1395,2.0678,12.8,780.36,5744,4.54,TRUE,nexsci
Kepler-280 c,0,0,0.004,0.18,0.0148,1313,1104,3.059,4.8071,0.9393,12.8,780.36,5744,4.54,TRUE,nexsci
Kepler-281 b,0,0,0.006,0.25,0.0263,910,765,3.011,14.646,6.293,14,1745.45,5723,4.53,TRUE,nexsci
Kepler-281 c,0,0.001,0.011,0.47,0.0769,671,565,2.929,36.3374,7.06,14,1745.45,5723,4.53,TRUE,nexsci
Kepler-282 b,0,0,0.003,0.09,0.00317,1064,895,2.987,9.2205,4.569,13.7,1337.61,5602,4.46,TRUE,nexsci
Kepler-282 c,0,0,0.002,0.11,0.00588,936,787,3.105,13.6387,5.449,13.7,1337.61,5602,4.46,TRUE,nexsci
Kepler-282 d,0,0,0.001,0.22,0.192,786,661,3.997,24.806,6.1513,13.7,1337.61,5699,4.53,TRUE,nexsci
Kepler-282 e,0,0,0.001,0.28,0.177,647,544,3.757,44.347,6.399,13.7,1337.61,5699,4.53,TRUE,nexsci
Kepler-283 b,0,0,0.006,0.19,0.0163,658,553,3.049,11.0082,2.013,13.1,468.09,4351,4.72,TRUE,nexsci
Kepler-283 c,0,0,0.004,0.16,0.0125,323,271,3.072,92.7437,5.506,13.1,468.09,4351,4.72,TRUE,nexsci
HD 2685 b,0.491,0.306,0.191,1.44,1.17,2044,1719,3.146,4.1269,4.429,8.6,196.85,6801,4.21,TRUE,nexsci
Kepler-284 b,0,0,0.004,0.2,0.0178,899,756,3.043,12.6991,2.9899,14.1,1031.95,5615,4.58,TRUE,nexsci
Kepler-284 c,0,0,0.004,0.23,0.023,628,528,3.021,37.5145,5.303,14.1,1031.95,5615,4.58,TRUE,nexsci
Kepler-285 b,0,0,0.004,0.12,0.00742,1472,1238,3.106,2.6339,2.0872,13.3,824.31,5411,4.58,TRUE,nexsci
Kepler-285 c,0,0,0.003,0.1,0.00459,1104,928,3.056,6.1867,2.983,13.3,824.31,5411,4.58,TRUE,nexsci
Kepler-286 b,0,0,0.002,0.11,0.00651,1806,1519,3.117,1.7963,1.9139,14.1,1226.85,5580,4.5,TRUE,nexsci
Kepler-286 c,0,0,0.002,0.12,0.00771,1448,1218,3.109,3.4681,2.366,14.1,1226.85,5580,4.5,TRUE,nexsci
Kepler-286 d,0,0,0.002,0.12,0.00733,1201,1010,3.108,5.9143,2.661,14.1,1226.85,5580,4.5,TRUE,nexsci
Kepler-286 e,0,0,0.002,0.16,0.0119,707,595,3.072,29.2213,4.014,14.1,1226.85,5580,4.5,TRUE,nexsci
Kepler-287 b,0,0,0.003,0.21,0.019,887,746,3.037,20.3422,2.3351,13.1,835.86,5806,4.4,TRUE,nexsci
Kepler-287 c,0,0,0.005,0.29,0.0336,681,573,2.993,44.8519,3.5729,13.1,835.86,5806,4.4,TRUE,nexsci
Kepler-288 b,0,0,0.003,0.15,0.0108,1390,1169,3.081,6.0973,3.216,13.6,1194.15,5918,4.35,TRUE,nexsci
Kepler-288 c,0,0,0.004,0.25,0.0267,947,796,3.011,19.3058,4.2752,13.6,1194.15,5918,4.35,TRUE,nexsci
Kepler-288 d,0,0,0.003,0.24,0.0239,661,556,3.019,56.6337,6.039,13.6,1194.15,5918,4.35,TRUE,nexsci
Kepler-289 b,0,0,0.003,0.19,0.023,750,630,3.189,34.545,3.178,12.5,704.44,5990,4.47,TRUE,nexsci
Kepler-289 c,0,0.001,0.027,1.03,0.42,481,404,2.988,125.8518,9.0191,12.5,704.44,5990,4.47,TRUE,nexsci
Kepler-289 d,0,0,0.008,0.24,0.013,598,503,2.751,66.0634,3.557,12.5,704.44,5990,4.47,TRUE,nexsci
Kepler-28 b,0,0.002,0,0.32,1.51,884,744,4.56,5.9123,2.3254,12.7,438.36,4590,4.29,TRUE,nexsci
Kepler-28 c,0,0.001,0,0.3,1.36,774,651,4.565,8.9858,2.8606,12.7,438.36,4590,4.29,TRUE,nexsci
Kepler-290 b,0,0,0.004,0.2,0.0179,766,644,3.041,14.5893,2.4,13.5,694.63,5147,4.62,TRUE,nexsci
Kepler-290 c,0,0,0.006,0.24,0.0244,561,472,3.018,36.7703,4.278,13.5,694.63,5147,4.62,TRUE,nexsci
Kepler-291 b,0,0.001,0.003,0.19,0.0167,1603,1348,3.046,3.5465,2.2746,14.2,1786.48,6002,4.47,TRUE,nexsci
Kepler-291 c,0,0,0.002,0.17,0.0132,1363,1147,3.064,5.7008,1.6408,14.2,1786.48,6002,4.47,TRUE,nexsci
Kepler-292 b,0,0,0.003,0.12,0.00724,1480,1244,3.11,2.5808,2.1729,14,1056.48,5299,4.54,TRUE,nexsci
Kepler-292 c,0,0,0.003,0.13,0.00869,1305,1097,3.099,3.7153,2.524,14,1056.48,5299,4.54,TRUE,nexsci
Kepler-292 d,0,0,0.004,0.2,0.0176,1062,893,3.042,7.0557,3.0479,14,1056.48,5299,4.54,TRUE,nexsci
Kepler-292 e,0,0,0.005,0.24,0.0239,889,747,3.019,11.979,3.937,14,1056.48,5299,4.54,TRUE,nexsci
Kepler-292 f,0,0,0.004,0.21,0.0193,737,620,3.035,20.8342,4.522,14,1056.48,5299,4.54,TRUE,nexsci
Kepler-293 b,0,0,0.006,0.27,0.0303,859,723,3,19.2542,4.5725,13.7,974.63,5804,4.5,TRUE,nexsci
Kepler-293 c,0,0,0.005,0.34,0.0442,610,513,2.972,54.1557,4.317,13.7,974.63,5804,4.5,TRUE,nexsci
Kepler-294 b,0,0,0.003,0.16,0.0119,1532,1288,3.072,3.7012,2.4629,14.2,1357.01,5913,4.49,TRUE,nexsci
Kepler-294 c,0,0.001,0.004,0.24,0.0245,1260,1059,3.016,6.6264,3.1752,14.2,1357.01,5913,4.49,TRUE,nexsci
Kepler-295 b,0,0,0.005,0.11,0.00624,969,815,3.115,12.6452,9.117,12.7,1699.19,5603,4.44,TRUE,nexsci
Kepler-295 c,0,0,0.004,0.1,0.00537,809,680,3.09,21.5263,8.392,12.7,1699.19,5603,4.44,TRUE,nexsci
Kepler-295 d,0,0,0.003,0.12,0.00761,696,585,3.11,33.8841,6.538,12.7,1699.19,5603,4.44,TRUE,nexsci
Kepler-296 b,0,0,0.006,0.14,0.0101,529,445,3.082,10.8644,1.853,12.6,167,3740,4.77,TRUE,nexsci
Kepler-296 c,0,0,0.01,0.18,0.0147,651,547,3.061,5.8416,1.8734,12.6,167,3740,4.77,TRUE,nexsci
Kepler-296 d,0,0,0.009,0.19,0.0158,433,364,3.054,19.8503,2.8407,12.6,167,3740,4.77,TRUE,nexsci
Kepler-296 e,0,0,0.005,0.14,0.0093,361,304,3.096,34.1421,2.945,12.6,167,3740,4.77,TRUE,nexsci
Kepler-296 f,0,0,0.006,0.16,0.0123,294,247,3.07,63.3363,3.6,12.6,167,3740,4.77,TRUE,nexsci
Kepler-297 b,0,0,0.001,0.26,0.153,663,558,3.762,38.8718,6.0573,12.8,692.14,5619,4.47,TRUE,nexsci
Kepler-297 c,0,0,0.013,0.58,0.132,533,448,2.983,74.9201,4.7917,12.8,692.14,5619,4.47,TRUE,nexsci
Kepler-298 b,0,0,0.006,0.17,0.0142,689,580,3.06,10.4755,2.3024,13.1,518.2,4465,4.71,TRUE,nexsci
Kepler-298 c,0,0,0.005,0.17,0.0138,529,445,3.063,22.9288,2.0831,13.1,518.2,4465,4.71,TRUE,nexsci
Kepler-298 d,0,0,0.006,0.22,0.0214,353,297,3.028,77.4736,4.168,13.1,518.2,4465,4.71,TRUE,nexsci
Kepler-299 b,0,0,0.003,0.12,0.00724,1635,1374,3.11,2.9271,2.545,13.4,1052.24,5617,4.39,TRUE,nexsci
Kepler-299 c,0,0.001,0.006,0.24,0.0236,1236,1039,3.021,6.8859,3.575,13.4,1052.24,5617,4.39,TRUE,nexsci
Kepler-299 d,0,0,0.003,0.17,0.013,952,800,3.068,15.0548,4.7,13.4,1052.24,5617,4.39,TRUE,nexsci
Kepler-299 e,0,0,0.003,0.17,0.0131,697,586,3.066,38.2855,6.418,13.4,1052.24,5617,4.39,TRUE,nexsci
Kepler-29 b,0,0,0.009,0.23,0.01573,869,731,2.879,10.3397,3.075,13.7,832.53,5378,4.6,TRUE,nexsci
Kepler-29 c,0,0,0.007,0.21,0.01416,799,672,2.905,13.2861,3.2825,13.7,832.53,5378,4.6,TRUE,nexsci
Kepler-300 b,0,0,0.004,0.15,0.0108,1062,893,3.081,10.4463,2.3503,12.7,1098.45,5986,4.53,TRUE,nexsci
Kepler-300 c,0,0,0.007,0.2,0.0179,676,569,3.041,40.715,8.5379,12.7,1098.45,5986,4.53,TRUE,nexsci
Kepler-301 b,0.001,0.001,0.005,0.12,0.00752,1667,1402,3.112,2.5086,2.3274,12.7,719.17,5815,4.53,TRUE,nexsci
Kepler-301 c,0,0,0.004,0.12,0.00752,1291,1086,3.112,5.419,2.2797,12.7,719.17,5815,4.53,TRUE,nexsci
Kepler-301 d,0,0,0.005,0.16,0.0117,945,795,3.076,13.7512,3.9594,12.7,719.17,5815,4.53,TRUE,nexsci
Kepler-302 b,0,0,0.005,0.36,0.0488,828,696,2.965,30.1841,5.8795,13.9,1402.58,5740,4.29,TRUE,nexsci
Kepler-303 b,0,0.001,0.014,0.08,0.00201,1011,851,2.902,1.9371,1.4747,11.6,209.74,3944,4.77,TRUE,nexsci
Kepler-303 c,0,0,0.007,0.1,0.00489,656,552,3.066,7.0611,1.0406,11.6,209.74,3944,4.77,TRUE,nexsci
EPIC 212297394 b,,,,0.13,0.00879,,1149,3.097,2.2894,1.88,12.2,418.39,5171,4.55,TRUE,nexsci
Kepler-304 b,0,0.002,0.013,0.26,0.0269,1141,960,3.011,3.2957,1.797,12.6,434.68,4731,4.63,TRUE,nexsci
Kepler-304 c,0,0.001,0.006,0.19,0.0168,970,815,3.044,5.3159,1.0951,12.6,434.68,4731,4.63,TRUE,nexsci
Kepler-304 d,0,0.001,0.011,0.24,0.0252,797,670,3.017,9.6535,2.987,12.6,434.68,4731,4.63,TRUE,nexsci
Kepler-304 e,0.001,0.001,0.005,0.11,0.00588,1549,1303,3.105,1.4991,1.4421,12.6,434.68,4817,4.61,TRUE,nexsci
Kepler-305 b,0,0.002,0.012,0.32,0.033,1098,924,2.9,5.487,2.93,13.7,868.48,5117,4.51,TRUE,nexsci
Kepler-305 c,0,0.001,0.015,0.29,0.019,957,805,2.736,8.291,3.613,13.7,868.48,5117,4.51,TRUE,nexsci
Kepler-305 d,0,0,0.004,0.24,0.02863,747,628,3.083,16.7387,2.398,13.7,868.48,5100,4.56,TRUE,nexsci
Kepler-306 b,0,0,0.004,0.14,0.0092,1078,907,3.091,4.6462,2.5137,13.5,775.68,4954,4.61,TRUE,nexsci
Kepler-306 c,0,0.001,0.007,0.21,0.0193,931,783,3.035,7.2402,2.9153,13.5,775.68,4954,4.61,TRUE,nexsci
Kepler-306 d,0,0,0.006,0.22,0.021,696,585,3.032,17.3266,4.2073,13.5,775.68,4954,4.61,TRUE,nexsci
Kepler-306 e,0,0,0.005,0.2,0.0182,506,425,3.039,44.841,5.902,13.5,775.68,4954,4.61,TRUE,nexsci
Kepler-307 b,0,0.001,0.008,0.22,0.02341,915,769,3.091,10.4208,2.7791,12.3,575.58,5367,4.46,TRUE,nexsci
Kepler-307 c,0,0,0.011,0.2,0.01145,848,713,2.869,13.0729,3.0401,12.3,575.58,5367,4.46,TRUE,nexsci
Kepler-308 b,0,0,0.003,0.19,0.0162,1092,919,3.051,9.6949,2.75,14.2,1335.92,5895,4.51,TRUE,nexsci
Kepler-308 c,0,0,0.003,0.19,0.0167,935,786,3.046,15.3823,3.891,14.2,1335.92,5895,4.51,TRUE,nexsci
Kepler-309 b,0,0,0.005,0.14,0.00961,944,794,3.091,5.9237,2.6302,12.9,544.57,4713,4.61,TRUE,nexsci
Kepler-309 c,0,0,0.004,0.22,0.0215,362,305,3.026,105.3564,3.81,12.9,544.57,4713,4.61,TRUE,nexsci
Kepler-30 b,0,0,0.009,0.35,0.036,724,609,2.867,29.3343,4.8,13.6,914.22,5498,4.77,TRUE,nexsci
Kepler-30 c,0,0.001,0.004,1.1,2.01,561,472,3.617,60.3231,5.7408,13.6,914.22,5498,4.77,TRUE,nexsci
Kepler-30 d,0,0,0.038,0.79,0.073,435,365,2.468,143.3439,7.728,13.6,914.22,5498,4.77,TRUE,nexsci
Kepler-310 b,0,0,0.003,0.11,0.0057,936,787,3.099,13.9307,2.312,12.6,602.27,5797,4.52,TRUE,nexsci
Kepler-310 c,0,0,0.009,0.3,0.0357,588,495,2.987,56.4754,5.961,12.6,602.27,5797,4.52,TRUE,nexsci
Kepler-310 d,0,0,0.006,0.22,0.02202,498,419,3.052,92.8761,7.126,12.6,602.27,5797,4.52,TRUE,nexsci
Kepler-311 b,0,0,0.004,0.15,0.0111,1252,1053,3.076,9.1761,4.2642,12.4,778.65,5905,4.31,TRUE,nexsci
Kepler-311 c,0,0,0.003,0.13,0.00829,970,816,3.098,19.7383,4.894,12.4,778.65,5905,4.31,TRUE,nexsci
Kepler-312 b,0.002,0.001,0.004,0.12,0.00696,2415,2031,3.115,1.7724,2.4592,11.6,797.72,6115,4.19,TRUE,nexsci
Kepler-312 c,0,0.001,0.007,0.28,0.0317,1087,914,2.998,19.7474,3.4115,11.6,797.72,6115,4.19,TRUE,nexsci
Kepler-313 b,0,0.001,0.004,0.23,0.0218,1153,969,3.024,14.9704,5.958,12.5,1079.4,5727,4.13,TRUE,nexsci
Kepler-313 c,0,0,0.004,0.23,0.0224,894,751,3.025,32.2733,6.51,12.5,1079.4,5727,4.13,TRUE,nexsci
Kepler-314 b,0,0,0.011,0.07,0.00157,1607,1351,2.852,2.4611,2.293,10.8,268.88,5378,4.46,TRUE,nexsci
Kepler-314 c,0.001,0.003,0.021,0.26,0.0275,1188,999,3.007,5.9604,2.765,10.8,268.88,5378,4.46,TRUE,nexsci
Kepler-315 b,0,0,0.005,0.34,0.043,535,450,2.975,96.1011,8.36,13.6,1160.63,5796,4.38,TRUE,nexsci
Kepler-315 c,0,0,0.005,0.37,0.0506,381,320,2.962,265.4693,9.443,13.6,1160.63,5796,4.38,TRUE,nexsci
Kepler-316 b,0,0,0.007,0.1,0.00377,1058,890,3.015,2.2405,1.3988,12.5,384.94,4204,4.74,TRUE,nexsci
Kepler-316 c,0,0,0.006,0.1,0.00521,722,607,3.085,6.8278,2.3726,12.5,384.94,4204,4.74,TRUE,nexsci
Kepler-317 b,0,0,0,0.19,0.345,1237,1041,4.393,5.5242,2.7411,13.7,940.58,5497,4.49,TRUE,nexsci
Kepler-317 c,0,0,0.003,0.15,0.0113,1061,892,3.078,8.775,3.293,13.7,940.58,5497,4.49,TRUE,nexsci
Kepler-318 b,0.004,0.006,0.021,0.42,0.0627,1519,1277,2.945,4.6627,2.7361,11.8,489.14,5746,4.33,TRUE,nexsci
Kepler-318 c,0,0.001,0.01,0.33,0.0413,1109,933,2.978,11.815,2.5234,11.8,489.14,5746,4.33,TRUE,nexsci
Kepler-319 b,0,0.001,0.006,0.14,0.0104,1331,1119,3.089,4.3627,2.1983,12.2,503.44,5526,4.49,TRUE,nexsci
Kepler-319 c,0,0.001,0.008,0.23,0.0233,1144,962,3.019,6.9414,1.7889,12.2,503.44,5526,4.49,TRUE,nexsci
Kepler-319 d,0,0,0.006,0.2,0.0184,688,578,3.04,31.7819,3.8318,12.2,503.44,5526,4.49,TRUE,nexsci
Kepler-31 b,0,0.001,0.008,0.49,0.0816,1004,844,2.924,20.8613,5.1937,13.9,1664.64,6340,4.7,TRUE,nexsci
Kepler-31 c,0,0.001,0,0.47,4.7,788,662,4.717,42.6318,6.1998,13.9,1664.64,6340,4.7,TRUE,nexsci
Kepler-31 d,0,0,0,0.35,6.8,635,534,5.144,87.6451,8.871,13.9,1664.64,6340,4.7,TRUE,nexsci
Kepler-320 b,0,0,0.004,0.1,0.00489,1333,1121,3.066,8.3716,4.238,12.3,826.61,6435,4.42,TRUE,nexsci
Kepler-320 c,0,0,0.004,0.12,0.00771,1032,868,3.109,17.9349,6.25,12.3,826.61,6435,4.42,TRUE,nexsci
Kepler-321 b,0.001,0.001,0.007,0.16,0.0119,1504,1265,3.072,4.9154,2.7969,11.2,384.54,5740,4.3,TRUE,nexsci
Kepler-321 c,0,0.001,0.007,0.21,0.0189,1083,910,3.039,13.0939,2.2805,11.2,384.54,5740,4.3,TRUE,nexsci
Kepler-322 b,0.001,0.001,0.006,0.09,0.00317,1774,1492,2.987,1.6539,1.684,11.8,400.48,5388,4.5,TRUE,nexsci
Kepler-322 c,0,0.001,0.007,0.15,0.0108,1291,1085,3.081,4.3372,2.471,11.8,400.48,5388,4.5,TRUE,nexsci
Kepler-323 b,0.003,0.001,0,0.13,2.153,2229,1874,5.513,1.6783,2.5123,11.4,454.88,5987,4.31,TRUE,nexsci
Kepler-323 c,0.001,0.001,0,0.14,0.251,1739,1462,4.471,3.5538,3.1029,11.4,454.88,5987,4.31,TRUE,nexsci
Kepler-324 b,0,0,0.005,0.1,0.00489,1221,1027,3.066,4.3853,2.5126,12.3,501.57,5194,4.53,TRUE,nexsci
Kepler-324 c,0,0,0.011,0.28,0.0317,535,450,2.998,51.8056,6.589,12.3,501.57,5194,4.53,TRUE,nexsci
Kepler-325 b,0.001,0.001,0.006,0.26,0.0277,1433,1205,3.007,4.5444,1.7405,13.4,823.24,5752,4.41,TRUE,nexsci
Kepler-325 c,0,0,0.004,0.23,0.022,1018,856,3.025,12.7622,2.0688,13.4,823.24,5752,4.41,TRUE,nexsci
Kepler-325 d,0,0,0.004,0.25,0.0258,703,591,3.013,38.7152,3.466,13.4,823.24,5752,4.41,TRUE,nexsci
Kepler-326 b,0.001,0.001,0.001,0.14,0.14,1464,1231,4.273,2.2483,1.9958,11.7,487.68,5105,4.56,TRUE,nexsci
